Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time Unit,Scale_Company_Size,Scale_Revenue
"$87,681 /yr (est.)",87681.0,Senior Penetration Tester,3.4723428902403706,-1,-1,A-LIGN, FL,4.3,0,14.0,201 to 500 Employees,2009,Private,Business Consulting,Management & Consulting,$25 to $100 million (USD),4.3,4.2,4.3,4.1,4.1,yr,3.0,6.443643512450852
"$88,421 /yr (est.)",88421.0,Senior Cyber Vulnerability and Penetration Tester,8.0,1,0,DCS Corp, NV,4.5,0,46.0,1001 to 5000 Employees,1977,Private,Research & Development,Management & Consulting,$100 to $500 million (USD),4.1,4.2,4.3,4.2,4.5,yr,5.0,6.0
"$108,289 /yr (est.)",108289.0,Principal Application Security Penetration Tester,5.0,1,0,Ally Financial, NC,3.6,0,104.0,10000+ Employees,1919,Public,Investment & Asset Management,Financial Services,$5 to $10 billion (USD),3.4,3.6,3.6,3.2,3.5,yr,7.0,8.0
"$117,032 /yr (est.)",117032.0,Penetration Tester,0.0,1,-1,Obsidian Solutions Group Llc, TX,3.8,0,13.0,51 to 200 Employees,2010,Private,National Agencies,Government & Public Administration,$5 to $25 million (USD),3.2,3.6,3.4,3.3,3.5,yr,2.0,3.0
"$109,849 /yr (est.)",109849.0,Penetration Tester,0.0,1,-1,"ANALYGENCE, Inc.", TX,4.3,0,13.0,201 to 500 Employees,2010,Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.8,3.9,4.3,4.4,4.3,yr,3.0,6.443643512450852
$62.00 /hr (est.),128960.0,Penetration Tester,4.0,2,-1,SpanIdea Systems, CA,3.9,0,12.0,501 to 1000 Employees,2011,Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),3.9,3.7,3.8,3.7,3.8,hr,4.0,3.0
"$96,844 /yr (est.)",96844.0,"AVP, Penetration Tester",5.0,1,1,Barclays, NJ,4.0,0,333.0,10000+ Employees,1690,Public,Banking & Lending,Financial Services,$10+ billion (USD),3.8,3.9,4.0,3.5,3.8,yr,7.0,9.0
"$109,849 /yr (est.)",109849.0,Penetration Tester,7.0,1,-1,"ANALYGENCE, Inc.", TX,4.3,0,13.0,201 to 500 Employees,2010,Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.8,3.9,4.3,4.4,4.3,yr,3.0,6.443643512450852
"$85,961 /yr (est.)",85961.0,Penetration Tester,0.0,2,1,Feditc Llc, TX,4.0,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.9,4.0,3.9,3.7,4.5,yr,4.521026072329689,6.443643512450852
"$84,425 /yr (est.)",84425.0,Penetration Tester- Manager,5.0,1,0,SAIC, VA,4.0,0,54.0,10000+ Employees,1969,Public,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),3.9,3.9,4.0,3.8,4.2,yr,7.0,8.0
"$117,032 /yr (est.)",117032.0,Penetration Tester,3.4723428902403706,-1,-1,Obsidian Solutions Group Llc, TX,3.8,0,13.0,51 to 200 Employees,2010,Private,National Agencies,Government & Public Administration,$5 to $25 million (USD),3.2,3.6,3.4,3.3,3.5,yr,2.0,3.0
"$62,271 /yr (est.)",62271.0,Penetration Tester,7.0,1,-1,"Command Post Technologies, Inc.", FL,3.8,0,15.0,51 to 200 Employees,2008,Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),3.6,4.2,3.9,3.8,4.0,yr,2.0,6.443643512450852
"$59,671 /yr (est.)",59671.0,Agile Project Coordinator,1.0,1,-1,Mango Languages, MI,3.6,0,16.0,51 to 200 Employees,2007,Private,Education & Training Services,Education,Unknown / Non-Applicable,3.3,3.6,3.7,3.3,3.5,yr,2.0,6.443643512450852
"$99,066 /yr (est.)",99066.0,Cybersecurity Penetration Tester,7.0,1,-1,Alliant Group, TX,3.0,0,22.0,501 to 1000 Employees,2001,Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,3.3,3.7,2.8,2.8,2.3,yr,4.0,6.443643512450852
"$65,000 /yr (est.)",65000.0,SOX tester,2.0,2,1,Devcare Solutions, OH,3.4,0,18.0,51 to 200 Employees,2005,Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.3,3.6,3.2,3.2,3.3,yr,2.0,6.443643512450852
"$150,000 /yr (est.)",150000.0,Software Application Tester,8.0,1,-1,Leidos, VA,3.9,0,54.0,10000+ Employees,1969,Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),3.8,3.6,3.8,3.6,4.0,yr,7.0,9.0
"$73,942 /yr (est.)",73942.0,Software Tester,5.0,1,-1,ManTech International Corporation, VA,4.3,0,55.0,5001 to 10000 Employees,1968,Public,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD),4.2,4.2,4.2,4.0,4.3,yr,6.0,7.0
"$15,000 /yr (est.)",15000.0,AUTOMATION Tester and QA SME,7.0,1,-1,Wintrio, VA,3.9213563355145746,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.740399153311158,3.7317205926821893,3.8397641366797703,3.6290293317205924,3.815663743574237,yr,4.521026072329689,6.443643512450852
"$94,740 /yr (est.)",94740.0,Application Engineer (Test Automation & Testing Strategy),3.0,1,0,Discover Financial Services, IL,3.9,0,38.0,1001 to 5000 Employees,1985,Public,Banking & Lending,Financial Services,$25 to $100 million (USD),3.8,3.7,4.0,3.6,3.8,yr,5.0,6.443643512450852
"$58,025 /yr (est.)",58025.0,Software Tester (Junior),5.0,1,0,ISPA Technology, FL,4.6,0,20.0,51 to 200 Employees,2003,Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.4,4.4,4.5,4.5,4.6,yr,2.0,6.443643512450852
"$100,000 /yr (est.)",100000.0,QA Engineer,0.0,2,1,IdeaCrew, DC,3.0,0,21.0,51 to 200 Employees,2002,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.0,3.0,3.0,3.0,3.0,yr,2.0,6.443643512450852
"$80,410 /yr (est.)",80410.0,Junior Associate - Penetration Testing,0.0,1,1,Urbane Security, IL,3.9213563355145746,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.740399153311158,3.7317205926821893,3.8397641366797703,3.6290293317205924,3.815663743574237,yr,4.521026072329689,6.443643512450852
"$95,000 /yr (est.)",95000.0,AWS Quality Assurance Automation Engineer/Tester,6.0,1,1,GAMA-1 Technologies,Remote,3.9,1,17.0,51 to 200 Employees,2006,Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),4.4,4.1,4.5,4.6,4.4,yr,2.0,3.0
"$89,924 /yr (est.)",89924.0,Senior Compliance Tester,6.0,1,1,Discover Financial Services, IL,3.9,0,38.0,1001 to 5000 Employees,1985,Public,Banking & Lending,Financial Services,$25 to $100 million (USD),3.8,3.7,4.0,3.6,3.8,yr,5.0,6.443643512450852
"$48,168 /yr (est.)",48168.0,Tester,0.0,2,-1,Mark Sand & Gravel, MN,2.5,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.0,4.0,2.5,2.5,1.5,yr,4.521026072329689,6.443643512450852
"$65,918 /yr (est.)",65918.0,Quality Assurance Tester: Full Time,0.0,1,1,TriTech Software, TX,4.0,0,28.0,51 to 200 Employees,1995,Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),2.6,3.1,3.2,2.6,2.9,yr,2.0,3.0
"$66,471 /yr (est.)",66471.0,Manual - Quality Analyst,0.0,1,-1,Photon, NV,3.9,0,16.0,5001 to 10000 Employees,2007,Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),4.0,3.8,3.7,3.7,3.7,yr,6.0,6.0
"$76,049 /yr (est.)",76049.0,"Associate, Testing",9.0,1,0,Santander US, MA,3.8,0,167.0,5001 to 10000 Employees,1856,Private,Banking & Lending,Financial Services,$500 million to $1 billion (USD),3.7,3.8,3.9,3.6,3.7,yr,6.0,7.0
"$97,796 /yr (est.)",97796.0,Software Developer-QA Automation lead,1.0,1,1,ClientServer Technology Solutions, NJ,1.0,0,43.82850041425021,-1,-1,Private,-1,-1,-1,1.0,1.0,1.0,1.0,5.0,yr,4.521026072329689,6.443643512450852
"$75,700 /yr (est.)",75700.0,Lead IT Analyst (DevOps),10.0,1,1,Maximus, NJ,3.3,0,48.0,10000+ Employees,1975,Public,HR Consulting,Human Resources & Staffing,$1 to $5 billion (USD),3.2,3.2,3.2,3.1,3.4,yr,7.0,7.0
"$55,000 /yr (est.)",55000.0,Digital Solutions | Software Quality Assurance Associate,3.4723428902403706,-1,-1,TELUS,LA,3.7,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.4,3.3,3.6,3.3,3.6,yr,4.521026072329689,6.443643512450852
"$87,097 /yr (est.)",87097.0,Software Application Tester,3.4723428902403706,-1,-1,BOEING, MD,3.9,0,107.0,10000+ Employees,1916,Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),3.8,3.9,3.5,3.1,3.9,yr,7.0,9.0
"$74,593 /yr (est.)",74593.0,IVI Test Coordinator,0.0,1,-1,Katalyst Healthcares & Life Sciences, OH,3.6,0,43.82850041425021,-1,-1,Private,-1,-1,-1,4.0,3.8,3.6,3.6,3.7,yr,4.521026072329689,6.443643512450852
"$63,508 /yr (est.)",63508.0,Vehicle Test Coordinator,0.0,2,1,Penske Vehicle Services, MI,3.7,0,54.0,10000+ Employees,1969,Private,Vehicle Dealers,Retail & Wholesale,$10+ billion (USD),3.7,3.6,3.5,3.4,3.4,yr,7.0,9.0
"$62,500 /yr (est.)",62500.0,IT Coordinator and Support Analyst,0.0,1,1,iTEP International, CA,3.9213563355145746,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.740399153311158,3.7317205926821893,3.8397641366797703,3.6290293317205924,3.815663743574237,yr,4.521026072329689,6.443643512450852
"$80,000 /yr (est.)",80000.0,Epic Application Analyst/Coordinator - Hybrid,0.0,1,1,Administration South, WA,3.4,0,45.0,1001 to 5000 Employees,1978,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),3.4,3.6,3.4,3.0,3.2,yr,5.0,6.0
"$44,603 /yr (est.)",44603.0,Genetic Testing Coordinator,0.0,1,-1,Dana-Farber Cancer Institute, MA,4.0,0,76.0,1001 to 5000 Employees,1947,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD),3.8,3.4,4.1,3.7,3.8,yr,5.0,7.0
"$64,058 /yr (est.)",64058.0,Data Coordinator,3.4723428902403706,-1,-1,Datalab USA, MD,3.8,0,43.82850041425021,-1,-1,Private,-1,-1,-1,4.1,3.7,3.9,4.0,3.8,yr,4.521026072329689,6.443643512450852
"$64,182 /yr (est.)",64182.0,Test Coordinator,3.4723428902403706,-1,-1,QED Systems LLC, VA,3.8,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.5,4.1,3.8,3.8,3.8,yr,4.521026072329689,6.443643512450852
"$50,000 /yr (est.)",50000.0,UAT Coordinator - Agilify,2.0,1,0,Agilify, LA,3.0,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.2,2.6,3.2,3.2,3.2,yr,4.521026072329689,6.443643512450852
"$57,500 /yr (est.)",57500.0,Assistant for College Advising Office/Coordinator of Testing,0.0,1,0,The Brearley School, NY,3.1,0,139.0,51 to 200 Employees,1884,School / School District,Preschools & Child Care Services,Education,$25 to $100 million (USD),2.8,3.7,2.8,2.8,3.3,yr,2.0,6.443643512450852
"$82,500 /yr (est.)",82500.0,IT Business Analyst/Project Coordinator,5.0,1,1,INADEV, VA,4.4,0,12.0,501 to 1000 Employees,2011,Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.2,3.8,4.0,3.9,3.9,yr,4.0,3.0
$37.12 /hr (est.),77209.6,"Point of Care Test Coordinator, Laboratory - Point of Care Tes",0.0,1,-1,West Kendall Baptist Hospital, FL,3.9,0,63.0,10000+ Employees,1960,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.9,3.6,3.9,3.5,3.7,hr,7.0,6.443643512450852
"$70,000 /yr (est.)",70000.0,Mathematics Test Development Coordinator,0.0,1,1,Tallahassee Community College, FL,3.9,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.3,3.2,3.5,3.2,3.7,yr,4.521026072329689,6.443643512450852
"$68,304 /yr (est.)",68304.0,National Security Event Coordinator,2.0,1,1,Pacific Northwest National Laboratory, WA,4.0,0,58.0,5001 to 10000 Employees,1965,Private,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),3.8,3.6,3.7,3.5,4.0,yr,6.0,7.0
$31.03 /hr (est.),64542.4,Data Analytics Coordinator,0.0,2,1,Second Harvest of Silicon Valley, CA,4.1,0,49.0,51 to 200 Employees,1974,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$100 to $500 million (USD),3.3,3.8,3.9,3.5,3.8,hr,2.0,6.0
"$69,989 /yr (est.)",69989.0,Test Administration Coordinator,0.0,1,0,City of Milwaukee, WI,3.4,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.0,2.9,2.9,2.7,3.3,yr,4.521026072329689,6.443643512450852
"$85,000 /yr (est.)",85000.0,Test Coordinator,0.0,2,1,Plaxonic Technologies, OH,4.6,0,10.0,51 to 200 Employees,2013,Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.4,4.2,4.7,4.4,4.4,yr,2.0,2.0
"$51,478 /yr (est.)",51478.0,COORDINATOR - DATABASE,0.0,2,-1,"Hard Rock Cafe International (USA), Inc.", OH,3.7,0,52.0,10000+ Employees,1971,Private,Restaurants & Cafes,Restaurants & Food Service,Unknown / Non-Applicable,3.4,3.5,3.6,3.1,3.2,yr,7.0,6.443643512450852
"$146,823 /yr (est.)",146823.0,Systems Engineer and Test Coordinator,3.4723428902403706,-1,-1,AF Research Labs, NM,4.0,0,43.82850041425021,-1,-1,Private,-1,-1,-1,4.0,4.3,3.8,3.7,4.1,yr,4.521026072329689,6.443643512450852
"$88,332 /yr (est.)",88332.0,SIT/SAT Coordinator (QA Analyst),0.0,1,0,GSS Infotech, CT,3.8,0,24.0,501 to 1000 Employees,1999,Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.6,3.3,3.5,3.5,3.7,yr,4.0,6.0
"$57,622 /yr (est.)",57622.0,Clinic Coordinator - Outpatient Phlebotomy,0.0,1,-1,The University of Chicago Medicine, IL,3.7,0,37.0,5001 to 10000 Employees,1986,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.6,3.7,3.6,3.2,3.6,yr,6.0,7.0
$32.10 /hr (est.),66768.0,QA Coordinator - Spec Proc,3.0,2,1,Quest Diagnostics, WA,3.5,0,56.0,10000+ Employees,1967,Public,Health Care Services & Hospitals,Healthcare,$5 to $10 billion (USD),3.3,3.5,3.4,3.0,3.2,hr,7.0,8.0
"$38,747 /yr (est.)",38747.0,Testing Coordinator - IDEA Innovation (23-24),0.0,1,1,IDEA Public Schools, LA,3.1,0,23.0,1001 to 5000 Employees,2000,School / School District,Primary & Secondary Schools,Education,$100 to $500 million (USD),3.5,3.6,3.1,2.5,2.2,yr,5.0,6.0
$30.00 /hr (est.),62400.0,Testing Center Coordinator,0.0,1,0,Sacred Heart Cathedral Preparatory / ADSF, CA,4.0,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.8,3.4,3.6,2.9,3.5,hr,4.521026072329689,6.443643512450852
$30.00 /hr (est.),62400.0,Testing Center Coordinator,3.4723428902403706,-1,-1,Sacred Heart Cathedral Preparatory / ADSF, CA,4.0,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.8,3.4,3.6,2.9,3.5,hr,4.521026072329689,6.443643512450852
"$53,764 /yr (est.)",53764.0,IT Coordinator,0.0,1,1,Space Dynamics Laboratory, UT,4.5,0,64.0,1001 to 5000 Employees,1959,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),4.2,4.2,4.6,4.4,4.7,yr,5.0,6.0
"$44,239 /yr (est.)",44239.0,Tester Coordinator,0.0,2,0,AXIANS EI, IL,3.7,0,24.0,10000+ Employees,1999,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),3.4,3.4,3.7,3.3,3.8,yr,7.0,7.0
"$82,500 /yr (est.)",82500.0,Non-Destructive Test Program Coordinator (NDT),2.0,1,-1,Loc Performance, MI,3.1,0,52.0,501 to 1000 Employees,1971,Private,Machinery Manufacturing,Manufacturing,$100 to $500 million (USD),3.3,3.0,2.9,3.1,3.0,yr,4.0,6.0
$25.00 /hr (est.),52000.0,Test Coordinator,0.0,1,1,Fair Housing Center of Metropolitan Detroit, MI,3.9213563355145746,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.740399153311158,3.7317205926821893,3.8397641366797703,3.6290293317205924,3.815663743574237,hr,4.521026072329689,6.443643512450852
"$82,500 /yr (est.)",82500.0,Infotainment Test Coordinator,7.0,2,1,DiamondPick, OH,4.5,0,43.82850041425021,-1,-1,Private,-1,-1,-1,4.5,4.2,4.4,4.3,4.3,yr,4.521026072329689,6.443643512450852
$55.46 /hr (est.),115356.8,IT Project Coordinator,7.0,1,1,Expedite Inc, GA,5.0,0,43.82850041425021,-1,-1,Private,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,hr,4.521026072329689,6.443643512450852
"$78,369 /yr (est.)",78369.0,"Coordinator, Data Reporting & Validation",0.0,1,1,District of Columbia Public Schools, DC,3.2,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.4,4.0,3.0,2.6,2.9,yr,4.521026072329689,6.443643512450852
"$80,412 /yr (est.)",80412.0,Lead Test Coordinator (Business Analyst III) (Remote),5.0,1,1,Elevance Health, VA,3.7,0,19.0,10000+ Employees,2004,Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),3.6,3.8,3.7,3.3,3.6,yr,7.0,9.0
"$56,474 /yr (est.)",56474.0,Testing Coordinator II (Immediate Opening),4.0,1,1,San Antonio Independent School District, TX,3.5,0,139.0,5001 to 10000 Employees,1884,School / School District,Primary & Secondary Schools,Education,$500 million to $1 billion (USD),3.3,3.1,3.4,2.8,2.8,yr,6.0,7.0
$57.50 /hr (est.),119600.0,IT Project Coordinator,3.4723428902403706,-1,-1,Zelus Inc., GA,3.0,0,5.0,1 to 50 Employees,2018,Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),3.740399153311158,3.7317205926821893,3.8397641366797703,3.6290293317205924,3.815663743574237,hr,1.0,2.0
"$65,619 /yr (est.)",65619.0,Test Coordinator (8324),0.0,1,0,"Patricio Enterprises, Inc", VA,3.5,0,43.82850041425021,-1,-1,Private,-1,-1,-1,2.8,3.4,3.0,2.9,3.5,yr,4.521026072329689,6.443643512450852
"$65,396 /yr (est.)",65396.0,Technology Test Lead/ Release Coordinator,0.0,1,1,Marthas Vineyard Bank, MA,4.3,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.4,4.1,4.1,4.4,4.1,yr,4.521026072329689,6.443643512450852
"$50,056 /yr (est.)",50056.0,IT SOX Testing Coordinator,3.0,1,-1,SoHo Dragon, NJ,4.3,0,43.82850041425021,-1,-1,Private,-1,-1,-1,4.0,3.9,4.3,4.1,4.2,yr,4.521026072329689,6.443643512450852
$25.63 /hr (est.),53310.4,District Test & MLSS Coordinator,5.0,1,1,Espanola Public Schools, NM,2.3,0,43.82850041425021,-1,-1,Private,-1,-1,-1,1.0,1.7,1.3,1.1,1.1,hr,4.521026072329689,6.443643512450852
"$54,906 /yr (est.)",54906.0,Data Analyst Coordinator,0.0,2,-1,AquaPhoenix Scientific LLC, PA,3.3,0,43.82850041425021,-1,-1,Private,-1,-1,-1,2.5,2.7,3.1,3.2,3.4,yr,4.521026072329689,6.443643512450852
"$59,725 /yr (est.)",59725.0,Senior Web Project Coordinator,5.0,1,1,Arkansas Blue Cross and Blue Shield, AR,4.2,0,75.0,1001 to 5000 Employees,1948,Private,Insurance Carriers,Insurance,$1 to $5 billion (USD),3.9,4.1,4.2,3.9,4.2,yr,5.0,7.0
"$75,458 /yr (est.)",75458.0,Testing Coordinator (Grade: 9-12),5.0,1,0,Dallas Independent School District, TX,3.3,0,156.0,10000+ Employees,1867,School / School District,Preschools & Child Care Services,Education,$1 to $5 billion (USD),3.4,3.3,3.0,2.7,2.8,yr,7.0,7.0
"$131,890 /yr (est.)",131890.0,Technical Deployment Coordinator - AVP Hybrid,5.0,1,1,Citi, NJ,3.9,0,211.0,10000+ Employees,1812,Public,Investment & Asset Management,Financial Services,$10+ billion (USD),3.9,3.8,3.8,3.5,3.5,yr,7.0,9.0
"$54,457 /yr (est.)",54457.0,Operations Test Coordinator,0.0,1,0,ICI Services, CA,3.3,0,24.0,201 to 500 Employees,1999,Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$25 to $100 million (USD),2.7,3.1,3.1,3.0,3.8,yr,3.0,6.443643512450852
$37.50 /hr (est.),78000.0,IT Project Coordinator,10.0,1,1,United Business Solutions INC, DC,2.7,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.6,3.3,2.6,3.1,2.3,hr,4.521026072329689,6.443643512450852
"$51,802 /yr (est.)",51802.0,Data Coordinator,3.0,1,-1,Perkins+Will, IL,4.1,0,88.0,1001 to 5000 Employees,1935,Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$100 to $500 million (USD),3.9,3.5,4.2,3.6,3.6,yr,5.0,6.0
"$52,500 /yr (est.)",52500.0,Test Coordinator CTMAS,0.0,2,1,"Sumitomo Rubber USA, LLC", NY,4.1,0,40.0,201 to 500 Employees,1983,Private,Taxi & Car Services,Transportation & Logistics,$500 million to $1 billion (USD),3.5,4.0,3.7,3.4,3.6,yr,3.0,7.0
"$45,650 /yr (est.)",45650.0,Entry Level IT Coordinator,2.0,1,-1,Milton CAT, MA,3.4,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.7,3.6,3.0,3.1,3.4,yr,4.521026072329689,6.443643512450852
$68.54 /hr (est.),142563.2,DOE IT Project Coordinator,7.0,1,1,Cirrus9 Solutions LLC, GA,2.9,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.3,3.1,2.8,2.8,2.8,hr,4.521026072329689,6.443643512450852
"$51,243 /yr (est.)",51243.0,Test Production Coordinator,3.4723428902403706,-1,-1,Bollinger Shipyards, LA,3.6,0,25.0,1001 to 5000 Employees,1998,Private,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.0,2.7,3.1,2.6,3.4,yr,5.0,7.0
"$100,000 /yr (est.)",100000.0,Software Project Coordinator,5.0,1,1,"ABLE FREIGHT SERVICES, LLC", CA,3.5,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.1,3.2,3.4,3.3,2.7,yr,4.521026072329689,6.443643512450852
"$115,615 /yr (est.)",115615.0,Medical Technologist - Ancillary Test Coordinator,3.0,1,1,US Veterans Health Administration, LA,3.7,0,93.0,10000+ Employees,1930,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,3.6,4.0,3.4,3.0,3.6,yr,7.0,6.443643512450852
"$67,600 /yr (est.)",67600.0,Testing and Reading Coordinator,3.0,2,-1,Phillips Programs, VA,3.1,0,56.0,201 to 500 Employees,1967,Private,Advertising & Public Relations,Media & Communication,$5 to $25 million (USD),3.3,3.5,3.6,3.1,3.1,yr,3.0,3.0
"$46,305 /yr (est.)",46305.0,Testing Coordinator,5.0,1,1,Pender County Schools, NC,3.2,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.3,2.5,3.3,2.9,2.8,yr,4.521026072329689,6.443643512450852
"$49,155 /yr (est.)",49155.0,IT Coordinator,4.0,1,-1,Manasquan Bank, NJ,4.7,0,149.0,201 to 500 Employees,1874,Private,Banking & Lending,Financial Services,$1 to $5 billion (USD),4.7,4.3,4.8,4.2,4.5,yr,3.0,7.0
"$6,054 /mo (est.)",72648.0,Testing Coordinator,0.0,2,1,Johnston County Public Schools, NC,3.8,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.9,2.7,3.5,3.5,3.4,mo,4.521026072329689,6.443643512450852
$63.50 /hr (est.),132080.0,IT Project Coordinator,7.0,1,1,Apptrics LLC, GA,5.0,0,43.82850041425021,-1,-1,Private,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,hr,4.521026072329689,6.443643512450852
"$47,331 /yr (est.)",47331.0,High School Testing Coordinator,0.0,2,1,Beaumont ISD, TX,5.0,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.740399153311158,3.7317205926821893,3.8397641366797703,3.6290293317205924,3.815663743574237,yr,4.521026072329689,6.443643512450852
"$49,344 /yr (est.)",49344.0,Testing Coordinator,3.4723428902403706,-1,-1,Brenham Independent School District, TX,4.2,0,43.82850041425021,-1,-1,Private,-1,-1,-1,2.4,2.9,4.1,3.5,4.1,yr,4.521026072329689,6.443643512450852
"$40,077 /yr (est.)",40077.0,Testing Coordinator,3.0,1,1,Centro de Salud Familiar La Fe, TX,3.1,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.0,3.7,3.3,2.9,3.3,yr,4.521026072329689,6.443643512450852
"$65,887 /yr (est.)",65887.0,Business Analyst | Project Coordinator,5.0,1,1,Avfuel, MI,3.0,0,50.0,51 to 200 Employees,1973,Private,Taxi & Car Services,Transportation & Logistics,$100 to $500 million (USD),2.9,2.9,3.1,3.2,3.0,yr,2.0,6.0
"$38,017 /yr (est.)",38017.0,Instructional-2023-24-Testing Coordinator,0.0,2,-1,School District of Osceola County, FL,3.1,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.2,2.4,3.1,2.9,2.8,yr,4.521026072329689,6.443643512450852
"$68,107 /yr (est.)",68107.0,IT Project Coordinator,7.0,1,1,Intellibee, GA,4.5,0,43.82850041425021,-1,-1,Private,-1,-1,-1,4.0,3.5,3.5,4.0,4.0,yr,4.521026072329689,6.443643512450852
"$47,488 /yr (est.)",47488.0,Testing Coordinator,0.0,1,1,College of Lake County,LA,3.6,0,43.82850041425021,-1,-1,Private,-1,-1,-1,3.2,3.5,3.5,3.2,3.7,yr,4.521026072329689,6.443643512450852
"$54,868 /yr (est.)",54868.0,IT Testing Coordinator - HYBRID,5.0,1,0,Methodist Le Bonheur Healthcare, TN,3.7,0,105.0,10000+ Employees,1918,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.6,3.5,3.7,3.2,3.7,yr,7.0,7.0
"$74,593 /yr (est.)",74593.0,IVI Test Coordinator,7.0,2,1,Katalyst Healthcares & Life Sciences, OH,3.6,0,43.82850041425021,-1,-1,Private,-1,-1,-1,4.0,3.8,3.6,3.6,3.7,yr,4.521026072329689,6.443643512450852
"$75,001 /yr (est.)",75001.0,Testing Coordinator,3.0,1,1,Douglas County School District - Colorado,LA,3.8,0,65.0,5001 to 10000 Employees,1958,School / School District,Primary & Secondary Schools,Education,$500 million to $1 billion (USD),3.6,3.1,3.5,3.4,3.5,yr,6.0,7.0
"$51,243 /yr (est.)",51243.0,Test Production Coordinator,5.0,1,-1,Bollinger Shipyards, LA,3.6,0,25.0,1001 to 5000 Employees,1998,Private,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.0,2.7,3.1,2.6,3.4,yr,5.0,7.0
"$65,166 /yr (est.)",65166.0,Test Coordinator,7.0,2,1,Katalyst Healthcares & Life Sciences, OH,3.6,0,43.82850041425021,-1,-1,Private,-1,-1,-1,4.0,3.8,3.6,3.6,3.7,yr,4.521026072329689,6.443643512450852
